"rules" "support" "confidence" "coverage" "lift" "count"
"25" "{YELLOW COAT RACK PARIS FASHION} => {BLUE COAT RACK PARIS FASHION}" 0.00056355346073057 0.916666666666667 0.000614785593524258 745.517361111111 11
"156" "{GREEN EASTER EGG HUNT START POST} => {YELLOW EASTER EGG HUNT START POST}" 0.000512321327936882 0.833333333333333 0.000614785593524258 739.356060606061 10
"129" "{ENAMEL BLUE RIM TEA CONTAINER} => {ENAMEL BLUE RIM COFFEE CONTAINER}" 0.00056355346073057 0.733333333333333 0.000768481991905323 596.413888888889 11
"67" "{PIN CUSHION BABUSHKA BLUE} => {PIN CUSHION BABUSHKA RED}" 0.000614785593524258 1 0.000614785593524258 574.088235294118 12
"117" "{LION SOCK PUPPET} => {COW  SOCK PUPPET}" 0.000512321327936882 0.625 0.000819714124699011 554.517045454545 10
"261" "{BLUE EASTER EGG HUNT START POST} => {YELLOW EASTER EGG HUNT START POST}" 0.000512321327936882 0.625 0.000819714124699011 554.517045454545 10
"196" "{DIAMANTE BOW BROOCH RED COLOUR} => {DIAMANTE BOW BROOCH BLACK COLOUR}" 0.000614785593524258 0.8 0.000768481991905323 503.716129032258 12
"251" "{BLACK SWEETHEART BRACELET} => {BLUE SWEETHEART BRACELET}" 0.000819714124699011 0.842105263157895 0.000973410523080076 498.092503987241 16
"220" "{SET/6 STRAWBERRY PAPER PLATES} => {SET/6 STRAWBERRY PAPER CUPS}" 0.000717249859111635 0.736842105263158 0.000973410523080076 479.414035087719 14
"250" "{BLACK SWEETHEART BRACELET} => {PINK SWEETHEART BRACELET}" 0.000717249859111635 0.736842105263158 0.000973410523080076 479.414035087719 14
